environment,budget,alert_limit,policy,candidate,split,calibration_feasible,heldout_feasible,harm,containment,benign_cost,disruption,false_alert,benign_collateral,attack_collateral
coverage_half,3.0,0.34,isolate,t8_l0,test,True,True,10.44875,0.4975,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,0.0
coverage_half,3.0,0.34,isolate,t8_l0,family_shift,True,False,6.835,0.4625,9.5,9.5,1.0,0.0,0.0
coverage_half,3.0,0.67,revoke,t12_l0,test,True,True,17.5,0.0,0.0,0.0,0.0,0.0,0.0
coverage_half,3.0,0.67,revoke,t12_l0,family_shift,True,False,9.5,0.0,3.5,3.5,0.5,0.0,0.0
coverage_half,3.0,0.67,deception_silent,t8_l1,test,True,True,8.15875,0.375,2.955,2.955,0.3333333333333333,0.0,0.0
coverage_half,3.0,0.67,deception_silent,t8_l1,family_shift,True,False,2.7625,0.4875,10.1975,10.1975,1.0,0.0,0.0
coverage_half,3.0,0.67,deception,t20_l1,test,True,True,8.40875,0.34375,2.9283333333333332,2.9283333333333332,0.305,0.0,0.0
coverage_half,3.0,0.67,deception,t20_l1,family_shift,True,False,3.335,0.435,8.2675,8.2675,0.9275,0.0,0.0
coverage_half,3.0,0.67,isolate,t8_l0,test,True,True,10.44875,0.4975,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,0.0
coverage_half,3.0,0.67,isolate,t8_l0,family_shift,True,False,6.835,0.4625,9.5,9.5,1.0,0.0,0.0
coverage_half,6.0,0.34,revoke,t12_l0,test,True,True,17.5,0.0,0.0,0.0,0.0,0.0,0.0
coverage_half,6.0,0.34,revoke,t12_l0,family_shift,True,False,9.5,0.0,3.5,3.5,0.5,0.0,0.0
coverage_half,6.0,0.34,deception_silent,t8_l0,test,True,True,7.64375,0.47375,3.3066666666666666,3.3066666666666666,0.3333333333333333,0.0,0.0
coverage_half,6.0,0.34,deception_silent,t8_l0,family_shift,True,False,2.31,0.5975,11.1975,11.1975,1.0,0.0,0.0
coverage_half,6.0,0.34,deception,t20_l0,test,True,True,7.865,0.41125,3.2516666666666665,3.2516666666666665,0.305,0.0,0.0
coverage_half,6.0,0.34,deception,t20_l0,family_shift,True,False,2.445,0.545,9.18,9.18,0.9275,0.0,0.0
coverage_half,6.0,0.34,isolate,t8_l0,test,True,True,10.44875,0.4975,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,0.0
coverage_half,6.0,0.34,isolate,t8_l0,family_shift,True,False,6.835,0.4625,9.5,9.5,1.0,0.0,0.0
coverage_half,6.0,0.67,revoke,t5_l0,test,True,True,5.5,0.75,5.333333333333333,5.333333333333333,0.6666666666666666,0.0,0.0
coverage_half,6.0,0.67,revoke,t5_l0,family_shift,True,False,7.5,0.5,14.5,14.5,1.0,0.0,0.0
coverage_half,6.0,0.67,deception_silent,t5_l1,test,True,True,7.2625,0.55375,5.645,5.645,0.6666666666666666,0.0,0.0
coverage_half,6.0,0.67,deception_silent,t5_l1,family_shift,True,False,1.675,0.7525,14.4825,14.4825,1.0,0.0,0.0
coverage_half,6.0,0.67,deception,t12_l0,test,True,True,7.51375,0.47375,5.483333333333333,5.483333333333333,0.57,0.0,0.0
coverage_half,6.0,0.67,deception,t12_l0,family_shift,True,False,2.2,0.5975,13.6725,13.6725,0.995,0.0,0.0
coverage_half,6.0,0.67,isolate,t5_l0,test,True,True,3.715,0.8775,5.333333333333333,5.333333333333333,0.6666666666666666,0.0,0.0
coverage_half,6.0,0.67,isolate,t5_l0,family_shift,True,False,5.1075,0.7175,14.5,14.5,1.0,0.0,0.0
coverage_half,12.0,0.34,revoke,t12_l0,test,True,True,17.5,0.0,0.0,0.0,0.0,0.0,0.0
coverage_half,12.0,0.34,revoke,t12_l0,family_shift,True,False,9.5,0.0,3.5,3.5,0.5,0.0,0.0
coverage_half,12.0,0.34,deception_silent,t8_l0,test,True,True,7.64375,0.47375,3.3066666666666666,3.3066666666666666,0.3333333333333333,0.0,0.0
coverage_half,12.0,0.34,deception_silent,t8_l0,family_shift,True,False,2.31,0.5975,11.1975,11.1975,1.0,0.0,0.0
coverage_half,12.0,0.34,deception,t20_l0,test,True,True,7.865,0.41125,3.2516666666666665,3.2516666666666665,0.305,0.0,0.0
coverage_half,12.0,0.34,deception,t20_l0,family_shift,True,False,2.445,0.545,9.18,9.18,0.9275,0.0,0.0
coverage_half,12.0,0.34,isolate,t8_l0,test,True,True,10.44875,0.4975,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,0.0
coverage_half,12.0,0.34,isolate,t8_l0,family_shift,True,False,6.835,0.4625,9.5,9.5,1.0,0.0,0.0
coverage_half,12.0,0.67,revoke,t5_l0,test,True,True,5.5,0.75,5.333333333333333,5.333333333333333,0.6666666666666666,0.0,0.0
coverage_half,12.0,0.67,revoke,t5_l0,family_shift,True,False,7.5,0.5,14.5,14.5,1.0,0.0,0.0
coverage_half,12.0,0.67,deception_silent,t5_l0,test,True,True,1.59375,0.885,6.858333333333333,6.858333333333333,0.6666666666666666,0.0,0.0
coverage_half,12.0,0.67,deception_silent,t5_l0,family_shift,True,False,1.675,0.7525,15.4825,15.4825,1.0,0.0,0.0
coverage_half,12.0,0.67,deception,t5_l0,test,True,True,1.59375,0.885,8.375,8.375,0.6666666666666666,0.0,0.0
coverage_half,12.0,0.67,deception,t5_l0,family_shift,True,False,1.675,0.7525,16.9675,16.9675,1.0,0.0,0.0
coverage_half,12.0,0.67,isolate,t5_l0,test,True,True,3.715,0.8775,5.333333333333333,5.333333333333333,0.6666666666666666,0.0,0.0
coverage_half,12.0,0.67,isolate,t5_l0,family_shift,True,False,5.1075,0.7175,14.5,14.5,1.0,0.0,0.0
reliability_half,0.0,0.34,revoke,t12_l0,test,True,True,17.5,0.0,0.0,0.0,0.0,0.0,0.0
reliability_half,0.0,0.34,revoke,t12_l0,family_shift,True,False,9.5,0.0,3.5,3.5,0.5,0.0,0.0
reliability_half,0.0,0.34,deception_silent,,test,False,False,,,,,,,
reliability_half,0.0,0.34,deception_silent,,family_shift,False,False,,,,,,,
reliability_half,0.0,0.34,deception,,test,False,False,,,,,,,
reliability_half,0.0,0.34,deception,,family_shift,False,False,,,,,,,
reliability_half,0.0,0.34,isolate,t12_l0,test,True,True,10.65875,0.51625,0.0,0.0,0.0,0.0,0.0
reliability_half,0.0,0.34,isolate,t12_l0,family_shift,True,False,6.7425,0.5175,3.5,3.5,0.5,0.0,0.0
reliability_half,0.0,0.67,revoke,t12_l0,test,True,True,17.5,0.0,0.0,0.0,0.0,0.0,0.0
reliability_half,0.0,0.67,revoke,t12_l0,family_shift,True,False,9.5,0.0,3.5,3.5,0.5,0.0,0.0
reliability_half,0.0,0.67,deception_silent,,test,False,False,,,,,,,
reliability_half,0.0,0.67,deception_silent,,family_shift,False,False,,,,,,,
reliability_half,0.0,0.67,deception,,test,False,False,,,,,,,
reliability_half,0.0,0.67,deception,,family_shift,False,False,,,,,,,
reliability_half,0.0,0.67,isolate,t12_l0,test,True,True,10.65875,0.51625,0.0,0.0,0.0,0.0,0.0
reliability_half,0.0,0.67,isolate,t12_l0,family_shift,True,False,6.7425,0.5175,3.5,3.5,0.5,0.0,0.0
reliability_half,1.0,0.34,revoke,t12_l0,test,True,True,17.5,0.0,0.0,0.0,0.0,0.0,0.0
reliability_half,1.0,0.34,revoke,t12_l0,family_shift,True,False,9.5,0.0,3.5,3.5,0.5,0.0,0.0
reliability_half,1.0,0.34,deception_silent,,test,False,False,,,,,,,
reliability_half,1.0,0.34,deception_silent,,family_shift,False,False,,,,,,,
reliability_half,1.0,0.34,deception,,test,False,False,,,,,,,
reliability_half,1.0,0.34,deception,,family_shift,False,False,,,,,,,
reliability_half,1.0,0.34,isolate,t8_l0,test,True,True,10.1425,0.51625,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,0.0
reliability_half,1.0,0.34,isolate,t8_l0,family_shift,True,False,6.225,0.5175,9.5,9.5,1.0,0.0,0.0
reliability_half,1.0,0.67,revoke,t12_l0,test,True,True,17.5,0.0,0.0,0.0,0.0,0.0,0.0
reliability_half,1.0,0.67,revoke,t12_l0,family_shift,True,False,9.5,0.0,3.5,3.5,0.5,0.0,0.0
reliability_half,1.0,0.67,deception_silent,,test,False,False,,,,,,,
reliability_half,1.0,0.67,deception_silent,,family_shift,False,False,,,,,,,
reliability_half,1.0,0.67,deception,,test,False,False,,,,,,,
reliability_half,1.0,0.67,deception,,family_shift,False,False,,,,,,,
reliability_half,1.0,0.67,isolate,t8_l0,test,True,True,10.1425,0.51625,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,0.0
reliability_half,1.0,0.67,isolate,t8_l0,family_shift,True,False,6.225,0.5175,9.5,9.5,1.0,0.0,0.0
reliability_half,3.0,0.34,revoke,t12_l0,test,True,True,17.5,0.0,0.0,0.0,0.0,0.0,0.0
reliability_half,3.0,0.34,revoke,t12_l0,family_shift,True,False,9.5,0.0,3.5,3.5,0.5,0.0,0.0
reliability_half,3.0,0.34,deception_silent,t8_l1,test,True,True,8.15875,0.375,2.955,2.955,0.3333333333333333,0.0,0.0
reliability_half,3.0,0.34,deception_silent,t8_l1,family_shift,True,False,2.7625,0.4875,10.1975,10.1975,1.0,0.0,0.0
reliability_half,3.0,0.34,deception,t20_l1,test,True,True,8.40875,0.34375,2.9283333333333332,2.9283333333333332,0.305,0.0,0.0
reliability_half,3.0,0.34,deception,t20_l1,family_shift,True,False,3.335,0.435,8.2675,8.2675,0.9275,0.0,0.0
reliability_half,3.0,0.34,isolate,t8_l0,test,True,True,10.1425,0.51625,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,0.0
reliability_half,3.0,0.34,isolate,t8_l0,family_shift,True,False,6.225,0.5175,9.5,9.5,1.0,0.0,0.0
reliability_half,3.0,0.67,revoke,t12_l0,test,True,True,17.5,0.0,0.0,0.0,0.0,0.0,0.0
reliability_half,3.0,0.67,revoke,t12_l0,family_shift,True,False,9.5,0.0,3.5,3.5,0.5,0.0,0.0
reliability_half,3.0,0.67,deception_silent,t8_l1,test,True,True,8.15875,0.375,2.955,2.955,0.3333333333333333,0.0,0.0
reliability_half,3.0,0.67,deception_silent,t8_l1,family_shift,True,False,2.7625,0.4875,10.1975,10.1975,1.0,0.0,0.0
reliability_half,3.0,0.67,deception,t20_l1,test,True,True,8.40875,0.34375,2.9283333333333332,2.9283333333333332,0.305,0.0,0.0
reliability_half,3.0,0.67,deception,t20_l1,family_shift,True,False,3.335,0.435,8.2675,8.2675,0.9275,0.0,0.0
reliability_half,3.0,0.67,isolate,t8_l0,test,True,True,10.1425,0.51625,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,0.0
reliability_half,3.0,0.67,isolate,t8_l0,family_shift,True,False,6.225,0.5175,9.5,9.5,1.0,0.0,0.0
reliability_half,6.0,0.34,revoke,t12_l0,test,True,True,17.5,0.0,0.0,0.0,0.0,0.0,0.0
reliability_half,6.0,0.34,revoke,t12_l0,family_shift,True,False,9.5,0.0,3.5,3.5,0.5,0.0,0.0
