environment,split,budget,alert_limit,silent_candidate,signal_candidate,calibration_feasible,heldout_both_feasible,metric,difference,ci_low,ci_high,seeds
collateral_quarter,family_shift,1.0,0.34,,,False,False,containment,,,,200
collateral_quarter,family_shift,1.0,0.34,,,False,False,benign_cost,,,,200
collateral_quarter,family_shift,1.0,0.67,,,False,False,harm,,,,200
collateral_quarter,family_shift,1.0,0.67,,,False,False,containment,,,,200
collateral_quarter,family_shift,1.0,0.67,,,False,False,benign_cost,,,,200
collateral_quarter,family_shift,3.0,0.34,t8_l1,t20_l1,True,False,harm,0.5725,0.4074375,0.7375625,200
collateral_quarter,family_shift,3.0,0.34,t8_l1,t20_l1,True,False,containment,-0.0525,-0.0725625,-0.0325,200
collateral_quarter,family_shift,3.0,0.34,t8_l1,t20_l1,True,False,benign_cost,-1.93,-2.1875,-1.6825000000000003,200
collateral_quarter,family_shift,3.0,0.67,t8_l1,t20_l1,True,False,harm,0.5725,0.4074375,0.7375625,200
collateral_quarter,family_shift,3.0,0.67,t8_l1,t20_l1,True,False,containment,-0.0525,-0.0725625,-0.0325,200
collateral_quarter,family_shift,3.0,0.67,t8_l1,t20_l1,True,False,benign_cost,-1.93,-2.1875,-1.6825000000000003,200
collateral_quarter,family_shift,6.0,0.34,t8_l0,t20_l0,True,False,harm,0.135,0.0825,0.1925,200
collateral_quarter,family_shift,6.0,0.34,t8_l0,t20_l0,True,False,containment,-0.0525,-0.075,-0.0325,200
collateral_quarter,family_shift,6.0,0.34,t8_l0,t20_l0,True,False,benign_cost,-2.0175,-2.2750624999999998,-1.7625,200
collateral_quarter,family_shift,6.0,0.67,t5_l1,t12_l0,True,False,harm,0.525,0.42749999999999994,0.6225,200
collateral_quarter,family_shift,6.0,0.67,t5_l1,t12_l0,True,False,containment,-0.155,-0.1875,-0.12493749999999999,200
collateral_quarter,family_shift,6.0,0.67,t5_l1,t12_l0,True,False,benign_cost,-0.81,-1.1025,-0.5075,200
collateral_quarter,family_shift,12.0,0.34,t8_l0,t20_l0,True,False,harm,0.135,0.0825,0.1925,200
collateral_quarter,family_shift,12.0,0.34,t8_l0,t20_l0,True,False,containment,-0.0525,-0.075,-0.0325,200
collateral_quarter,family_shift,12.0,0.34,t8_l0,t20_l0,True,False,benign_cost,-2.0175,-2.2750624999999998,-1.7625,200
collateral_quarter,family_shift,12.0,0.67,t5_l0,t5_l0,True,False,harm,0.0,0.0,0.0,200
collateral_quarter,family_shift,12.0,0.67,t5_l0,t5_l0,True,False,containment,0.0,0.0,0.0,200
collateral_quarter,family_shift,12.0,0.67,t5_l0,t5_l0,True,False,benign_cost,1.485,1.33,1.625,200
collateral_one,test,0.0,0.34,,,False,False,harm,,,,200
collateral_one,test,0.0,0.34,,,False,False,containment,,,,200
collateral_one,test,0.0,0.34,,,False,False,benign_cost,,,,200
collateral_one,test,0.0,0.67,,,False,False,harm,,,,200
collateral_one,test,0.0,0.67,,,False,False,containment,,,,200
collateral_one,test,0.0,0.67,,,False,False,benign_cost,,,,200
collateral_one,test,1.0,0.34,,,False,False,harm,,,,200
collateral_one,test,1.0,0.34,,,False,False,containment,,,,200
collateral_one,test,1.0,0.34,,,False,False,benign_cost,,,,200
collateral_one,test,1.0,0.67,,,False,False,harm,,,,200
collateral_one,test,1.0,0.67,,,False,False,containment,,,,200
collateral_one,test,1.0,0.67,,,False,False,benign_cost,,,,200
collateral_one,test,3.0,0.34,t8_l1,t20_l1,True,True,harm,0.25,0.1825,0.32378124999999996,200
collateral_one,test,3.0,0.34,t8_l1,t20_l1,True,True,containment,-0.03125,-0.04375,-0.02,200
collateral_one,test,3.0,0.34,t8_l1,t20_l1,True,True,benign_cost,-0.026666666666666665,-0.06166666666666666,0.008375000000000004,200
collateral_one,test,3.0,0.67,t8_l1,t20_l1,True,True,harm,0.25,0.1825,0.32378124999999996,200
collateral_one,test,3.0,0.67,t8_l1,t20_l1,True,True,containment,-0.03125,-0.04375,-0.02,200
collateral_one,test,3.0,0.67,t8_l1,t20_l1,True,True,benign_cost,-0.026666666666666665,-0.06166666666666666,0.008375000000000004,200
collateral_one,test,6.0,0.34,t8_l0,t20_l0,True,True,harm,0.22125,0.1425,0.3100625,200
collateral_one,test,6.0,0.34,t8_l0,t20_l0,True,True,containment,-0.0625,-0.08125,-0.04625,200
collateral_one,test,6.0,0.34,t8_l0,t20_l0,True,True,benign_cost,-0.05499999999999999,-0.10666666666666666,2.782496455466799e-18,200
collateral_one,test,6.0,0.67,t5_l1,t12_l0,True,True,harm,0.25125,0.1875,0.3225,200
collateral_one,test,6.0,0.67,t5_l1,t12_l0,True,True,containment,-0.08,-0.095,-0.06375,200
collateral_one,test,6.0,0.67,t5_l1,t12_l0,True,True,benign_cost,-0.16166666666666668,-0.40174999999999994,0.07833333333333332,200
collateral_one,test,12.0,0.34,t8_l0,t20_l0,True,True,harm,0.22125,0.1425,0.3100625,200
collateral_one,test,12.0,0.34,t8_l0,t20_l0,True,True,containment,-0.0625,-0.08125,-0.04625,200
collateral_one,test,12.0,0.34,t8_l0,t20_l0,True,True,benign_cost,-0.05499999999999999,-0.10666666666666666,2.782496455466799e-18,200
collateral_one,test,12.0,0.67,t5_l0,t5_l0,True,True,harm,0.0,0.0,0.0,200
collateral_one,test,12.0,0.67,t5_l0,t5_l0,True,True,containment,0.0,0.0,0.0,200
collateral_one,test,12.0,0.67,t5_l0,t5_l0,True,True,benign_cost,1.5166666666666666,1.3499583333333336,1.6817083333333334,200
collateral_one,family_shift,0.0,0.34,,,False,False,harm,,,,200
collateral_one,family_shift,0.0,0.34,,,False,False,containment,,,,200
collateral_one,family_shift,0.0,0.34,,,False,False,benign_cost,,,,200
collateral_one,family_shift,0.0,0.67,,,False,False,harm,,,,200
collateral_one,family_shift,0.0,0.67,,,False,False,containment,,,,200
collateral_one,family_shift,0.0,0.67,,,False,False,benign_cost,,,,200
collateral_one,family_shift,1.0,0.34,,,False,False,harm,,,,200
collateral_one,family_shift,1.0,0.34,,,False,False,containment,,,,200
collateral_one,family_shift,1.0,0.34,,,False,False,benign_cost,,,,200
collateral_one,family_shift,1.0,0.67,,,False,False,harm,,,,200
collateral_one,family_shift,1.0,0.67,,,False,False,containment,,,,200
collateral_one,family_shift,1.0,0.67,,,False,False,benign_cost,,,,200
collateral_one,family_shift,3.0,0.34,t8_l1,t20_l1,True,False,harm,0.5725,0.4149375,0.745,200
collateral_one,family_shift,3.0,0.34,t8_l1,t20_l1,True,False,containment,-0.0525,-0.075,-0.0325,200
collateral_one,family_shift,3.0,0.34,t8_l1,t20_l1,True,False,benign_cost,-1.93,-2.175,-1.6800000000000002,200
collateral_one,family_shift,3.0,0.67,t8_l1,t20_l1,True,False,harm,0.5725,0.4149375,0.745,200
collateral_one,family_shift,3.0,0.67,t8_l1,t20_l1,True,False,containment,-0.0525,-0.075,-0.0325,200
